DateTime_frmt,sno,i,DateTime,Ask,Bid,tick,sema,lema,slema,o,h,l,c,switch_point,h_line_1,l_line_1,h_line_2,l_line_2,h_line_3,l_line_3,m,b
2021-01-05 02:41:39.226,666,0,20210105 02:41:39.226,1.22684,1.2268,1.22682,1.226815,1.226072,1.2268,,,,,0,,,,,,,,
2021-01-05 02:41:42.890,667,0,20210105 02:41:42.890,1.22683,1.2268,1.226815,1.226814,1.226072,1.226801,,,,,0,,,,,,,,
2021-01-05 02:41:42.991,668,0,20210105 02:41:42.991,1.22683,1.22678,1.226805,1.226813,1.226073,1.226801,,,,,0,,,,,,,,
2021-01-05 02:41:47.843,669,0,20210105 02:41:47.843,1.22681,1.22679,1.2268,1.226813,1.226073,1.226801,,,,,0,,,,,,,,
2021-01-05 02:41:47.944,670,0,20210105 02:41:47.944,1.22683,1.22678,1.226805,1.226812,1.226073,1.226801,,,,,0,,,,,,,,
2021-01-05 02:41:50.407,671,0,20210105 02:41:50.407,1.22682,1.22678,1.2268,1.226811,1.226074,1.226802,,,,,0,,,,,,,,
2021-01-05 02:41:50.510,672,0,20210105 02:41:50.510,1.22681,1.22678,1.226795,1.22681,1.226074,1.226802,,,,,0,,,,,,,,
2021-01-05 02:41:50.765,673,0,20210105 02:41:50.765,1.22682,1.22678,1.2268,1.226809,1.226074,1.226802,,,,,0,,,,,,,,
2021-01-05 02:41:50.867,674,0,20210105 02:41:50.867,1.22682,1.22677,1.226795,1.226809,1.226075,1.226802,,,,,0,,,,,,,,
2021-01-05 02:41:52.630,675,0,20210105 02:41:52.630,1.22683,1.22678,1.226805,1.226808,1.226075,1.226802,,,,,0,,,,,,,,
2021-01-05 02:41:52.731,676,0,20210105 02:41:52.731,1.22683,1.22679,1.22681,1.226808,1.226075,1.226803,,,,,0,,,,,,,,
2021-01-05 02:41:54.934,677,0,20210105 02:41:54.934,1.22683,1.22678,1.226805,1.226807,1.226076,1.226803,,,,,0,,,,,,,,
2021-01-05 02:41:55.187,678,0,20210105 02:41:55.187,1.22682,1.22678,1.2268,1.226807,1.226076,1.226803,,,,,0,,,,,,,,
2021-01-05 02:41:58.325,679,0,20210105 02:41:58.325,1.22679,1.22678,1.226785,1.226805,1.226076,1.226803,,,,,0,,,,,,,,
