ERROR:root:--- Timestamp-2021-04-20 14:54:55.936082, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:56.438301, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:56.789203, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:57.324400, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:57.800296, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:58.330141, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:58.858992, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:59.392163, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:59.811372, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:01.215080, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:02.305201, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:02.642287, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:03.148070, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:03.704592, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:04.204829, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:04.540838, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:05.058061, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:05.628315, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:06.075589, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:06.584007, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:07.089292, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:08.348168, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:08.667472, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:09.179381, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:09.712889, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:11.567963, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:11.908359, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:12.422507, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:12.980089, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:13.395468, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:14.593248, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:15.169080, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:15.618836, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:16.012000, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:16.617457, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:17.023087, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:55:17.575832, Error-'candle_avg_height'
